Iteration;Best Fitness;Average Fitness;Worst Fitness
1;91136;91136;91136
2;91136;86112;86112
3;91136;82188;82188
4;92757;92757;82188
5;92757;82103;82103
6;98828;98828;82103
7;98828;85146;82103
8;98828;78314;78314
9;98828;76532;76532
10;98828;76051;76051
11;98828;81876;76051
12;98828;82544;76051
13;98828;85482;76051
14;98828;87976;76051
15;98828;88526;76051
16;98828;97259;76051
17;98828;73586;73586
18;98828;91459;73586
19;98828;70889;70889
20;98828;81244;70889
21;98828;79003;70889
22;98828;89798;70889
23;98828;89064;70889
24;98828;97210;70889
25;98828;91838;70889
26;98828;73756;70889
27;98828;96197;70889
28;98828;93632;70889
29;98828;83803;70889
30;98828;74073;70889
31;98828;80897;70889
32;101794;101794;70889
33;105464;105464;70889
34;105464;78486;70889
35;105464;74675;70889
36;105464;85134;70889
37;105464;83115;70889
38;105464;86177;70889
39;105464;71560;70889
40;105464;94208;70889
41;105464;73110;70889
42;105464;84998;70889
43;105464;91341;70889
44;105464;90416;70889
45;105464;78309;70889
46;105464;72934;70889
47;105464;75264;70889
48;105464;73303;70889
49;105464;75063;70889
50;105464;77255;70889
51;105464;86739;70889
52;105464;101546;70889
53;105464;75875;70889
54;105464;83459;70889
55;105464;85463;70889
56;105464;72139;70889
57;105464;78362;70889
58;105464;80623;70889
59;105464;90024;70889
60;105464;93914;70889
61;105464;84045;70889
62;105464;73755;70889
63;105464;68633;68633
64;105464;81526;68633
65;105464;75549;68633
66;105464;83679;68633
67;105464;84460;68633
68;105464;89739;68633
69;105464;71635;68633
70;105464;87629;68633
71;105464;74587;68633
72;105464;89054;68633
73;105464;81396;68633
74;105464;68747;68633
75;105464;91043;68633
76;105464;81562;68633
77;105464;80839;68633
78;105464;88376;68633
79;105464;72520;68633
80;105464;82786;68633
81;105464;83117;68633
82;105464;83602;68633
83;105464;83043;68633
84;105464;84639;68633
85;105464;82548;68633
86;105464;65997;65997
87;105464;76529;65997
88;105464;77225;65997
89;105464;84365;65997
90;105464;73020;65997
91;105464;73613;65997
92;105464;74346;65997
93;105464;82156;65997
94;105464;79435;65997
95;105464;93738;65997
96;105464;81629;65997
97;105464;74847;65997
98;105464;78012;65997
99;105464;90404;65997
100;105464;84230;65997
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;86789;86789;86789
2;89728;89728;86789
3;97920;97920;86789
4;97920;87718;86789
5;97920;82327;82327
6;97920;82883;82327
7;97920;89583;82327
8;97920;81515;81515
9;97920;87098;81515
10;97920;76866;76866
11;97920;71756;71756
12;97920;92676;71756
13;97920;91258;71756
14;97920;71141;71141
15;97920;79797;71141
16;97920;83397;71141
17;97920;86782;71141
18;97920;82867;71141
19;97920;87451;71141
20;97920;79366;71141
21;97920;81833;71141
22;97920;79514;71141
23;97920;94414;71141
24;97920;78661;71141
25;97920;80142;71141
26;97920;87021;71141
27;97920;61382;61382
28;97920;77460;61382
29;97920;96685;61382
30;97920;84939;61382
31;97920;77014;61382
32;97920;81075;61382
33;97920;74787;61382
34;97920;75609;61382
35;97920;79043;61382
36;97920;87557;61382
37;97920;84143;61382
38;97920;75076;61382
39;97920;97534;61382
40;97920;69376;61382
41;97920;86343;61382
42;97920;78023;61382
43;97920;93429;61382
44;97920;77556;61382
45;97920;70974;61382
46;97920;84359;61382
47;97920;78773;61382
48;97920;78078;61382
49;97920;86391;61382
50;97920;76329;61382
51;97920;79654;61382
52;97920;95485;61382
53;97920;80196;61382
54;97920;85022;61382
55;97920;73618;61382
56;97920;81856;61382
57;97920;78951;61382
58;97920;82184;61382
59;97920;78614;61382
60;97920;90990;61382
61;97920;77945;61382
62;97920;90941;61382
63;97920;77440;61382
64;97920;83065;61382
65;97920;82888;61382
66;97920;84894;61382
67;97920;81257;61382
68;97920;85697;61382
69;97920;86979;61382
70;97920;77883;61382
71;97920;87371;61382
72;97920;76108;61382
73;103511;103511;61382
74;103511;91517;61382
75;103511;68773;61382
76;103511;75807;61382
77;103511;74084;61382
78;103511;84352;61382
79;103511;85944;61382
80;103511;84687;61382
81;103511;77338;61382
82;103511;80498;61382
83;103511;83704;61382
84;103511;86642;61382
85;103511;72619;61382
86;103511;81569;61382
87;103511;68651;61382
88;103511;90062;61382
89;103511;62302;61382
90;103511;54476;54476
91;103511;67727;54476
92;103511;85260;54476
93;103511;88369;54476
94;103511;90817;54476
95;103511;72555;54476
96;103511;87308;54476
97;103511;70242;54476
98;103511;90075;54476
99;103511;75200;54476
100;103511;76419;54476
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;90275;90275;90275
2;90275;85361;85361
3;94044;94044;85361
4;94044;69935;69935
5;94044;82865;69935
6;94044;69310;69310
7;94044;71637;69310
8;94044;87902;69310
9;95007;95007;69310
10;95007;85027;69310
11;95007;75493;69310
12;95007;75097;69310
13;95007;78769;69310
14;95007;72120;69310
15;95007;91964;69310
16;95007;87025;69310
17;95007;86831;69310
18;95007;75515;69310
19;95007;78559;69310
20;95007;72263;69310
21;95007;64703;64703
22;95007;82198;64703
23;95007;76045;64703
24;95007;75208;64703
25;95007;76778;64703
26;101745;101745;64703
27;101745;91588;64703
28;101745;81679;64703
29;101745;91165;64703
30;101745;91842;64703
31;101745;76052;64703
32;102749;102749;64703
33;102749;69267;64703
34;102749;97388;64703
35;102749;79372;64703
36;102749;85964;64703
37;102749;90237;64703
38;102749;60329;60329
39;102749;70360;60329
40;102749;102409;60329
41;102749;74171;60329
42;102749;97951;60329
43;102749;82528;60329
44;102749;79756;60329
45;102749;77542;60329
46;102749;82547;60329
47;102749;77333;60329
48;104029;104029;60329
49;104029;83751;60329
50;104029;73631;60329
51;104029;80026;60329
52;104029;68023;60329
53;104029;94013;60329
54;104029;79776;60329
55;104029;69461;60329
56;104029;81912;60329
57;104029;71612;60329
58;104029;80129;60329
59;104029;87136;60329
60;104029;80345;60329
61;104029;79504;60329
62;104029;67078;60329
63;104029;99076;60329
64;104029;64433;60329
65;104029;87281;60329
66;104029;84012;60329
67;104029;80039;60329
68;104029;71111;60329
69;104029;90707;60329
70;104029;86333;60329
71;104029;98995;60329
72;104029;92624;60329
73;104029;90561;60329
74;104029;72556;60329
75;104029;96235;60329
76;104029;93689;60329
77;104029;77044;60329
78;104029;100061;60329
79;104029;83336;60329
80;104029;97294;60329
81;104029;74308;60329
82;104029;79382;60329
83;104029;90814;60329
84;104029;79511;60329
85;104029;89297;60329
86;104029;90612;60329
87;104029;79595;60329
88;104029;86488;60329
89;104029;101161;60329
90;104029;91737;60329
91;104029;83819;60329
92;104029;92454;60329
93;104029;83324;60329
94;104029;64432;60329
95;104029;81946;60329
96;104029;69313;60329
97;104029;84802;60329
98;104029;82196;60329
99;104029;77042;60329
100;104029;62023;60329
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;84472;84472;84472
2;84472;70817;70817
