Iteration;Best Fitness;Average Fitness;Worst Fitness
1;83616;166505;83616
2;83920;125212;83616
3;84051;111492;83616
4;84051;104599;83616
5;84901;100659;83616
6;84901;97741;83149
7;84901;95612;82838
8;84901;93643.1;79861
9;84901;92443.3;79861
10;84901;91459.6;79861
11;84901;90697.2;79861
12;84901;90118.5;79861
13;84901;89680.1;79861
14;84901;89255.7;79861
15;84901;88957.5;79861
16;85659;88751.4;79861
17;85659;88488.4;79861
18;85659;88222.1;79861
19;85659;87799.4;79861
20;85659;87494.6;79861
21;85659;87262.8;79861
22;85659;87012.3;79861
23;85659;86721.6;79861
24;85659;86497.9;79861
25;85659;86264.3;79861
26;85659;86058.8;79861
27;85659;85932;79861
28;85659;85747.6;79861
29;85659;85596.1;79861
30;85659;85370.7;78834
31;85659;85148.8;78492
32;85659;84962.4;78492
33;85659;84808.5;78492
34;85659;84713.6;78492
35;85659;84607.8;78492
36;85659;84520.2;78492
37;85659;84476.6;78492
38;85659;84454.1;78492
39;85659;84376.3;78492
40;85659;84280.5;78492
41;85659;84192.6;78492
42;85659;84148;78492
43;85659;84153;78492
44;85659;84153.1;78492
45;85659;84139.2;78492
46;85659;84138.2;78492
47;85659;84115;78492
48;85659;84132.8;78492
49;85659;84144.5;78492
50;85659;84098.7;78492
51;85659;84041;78492
52;85659;84040.5;78492
53;85659;84044.1;78492
54;85659;84055.1;78492
55;85659;84074.1;78492
56;85659;84078.1;78492
57;86121;84114;78492
58;87265;84168.3;78492
59;87265;84206.4;78492
60;87265;84254.7;78492
61;87265;84287.4;78492
62;90232;84383.3;78492
63;90232;84406.3;78492
64;90232;84414.9;78492
65;90232;84413.6;78492
66;90232;84424.6;78492
67;90232;84442.9;78492
68;90232;84475.8;78492
69;90232;84511.6;78492
70;90232;84543.6;78492
71;90232;84564.4;78492
72;90232;84600.2;78492
73;90232;84629.1;78492
74;90232;84680.2;78492
75;91391;84769.7;78492
76;92267;84868.3;78492
77;93209;84976.7;78492
78;93411;85084.8;78492
79;93411;85175.6;78492
80;93411;85262.9;78492
81;93411;85341.1;78492
82;93411;85428.8;78492
83;94055;85532.8;78492
84;94915;85644.4;78492
85;95642;85762.1;78492
86;95642;85871;78492
87;96403;85992;78492
88;96403;86096.2;78492
89;96403;86211.2;78492
90;96403;86279.4;78492
91;96403;86377.5;78492
92;96403;86467.9;78492
93;96895;86580;78492
94;96895;86687.6;78492
95;96895;86787;78492
96;97377;86897.3;78492
97;97377;87001.2;78492
98;97377;87105;78492
99;97377;87198.6;78492
100;97377;87283.5;78492
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;86255;172310;86055
2;86255;128332;84355
3;87299;114655;84355
4;87701;107916;84355
5;87701;103413;84355
6;87701;100505;84355
7;87701;98575.9;84355
8;87701;97021.5;84355
9;87701;95801.3;84355
10;87701;94942.4;84355
11;87701;94197.2;84355
12;88235;93700.3;84355
13;89951;93411.9;84355
14;90151;93179;84355
15;91136;93042.8;84355
16;91573;92950.9;84355
17;92554;92927.6;84355
18;92554;92849;84355
19;92554;92755.7;84355
20;92554;92695.2;84355
21;92554;92558.9;84355
22;92554;92481.5;84355
23;92554;92349;84355
24;92554;92240.4;84355
25;92554;92117;84355
26;92554;91979;84355
27;92554;91889.5;84355
28;92554;91764.6;84355
29;92554;91583.9;84355
30;92554;91398.2;84355
31;92554;91273.9;84355
32;92554;91170;84355
33;92554;91134.2;84355
34;92554;91076.6;84355
35;92554;91042.7;84355
36;92554;90972.4;84355
37;92554;90962;84355
38;92554;90925.3;84355
39;92554;90901.6;84355
40;92554;90838;84355
41;92554;90774.4;84355
42;92554;90723.3;84355
43;92554;90693.3;84355
44;92554;90680.8;84355
45;92554;90673.8;84355
46;92554;90644.5;84355
47;92554;90611.8;84355
48;92554;90537.2;84355
49;92554;90453.7;84355
50;92554;90390.7;84355
51;92554;90336.8;84355
52;92554;90295.9;84355
53;92554;90224.1;84355
54;92554;90148.9;84355
55;92554;90108.9;84355
56;92554;90057.5;84355
57;92554;90019.9;84355
58;92554;89993.4;84355
59;92554;89952.7;84355
60;92554;89946.7;84355
61;93092;89998.2;84355
62;93092;90044.9;84355
63;93092;90067.4;84355
64;93092;90102.9;84355
65;93092;90128.5;84355
66;93092;90145;84355
67;93092;90181.5;84355
68;93092;90219.9;84355
69;93308;90264.7;84355
70;93308;90294.8;84355
71;93308;90330.2;84355
72;93734;90377.5;84355
73;93734;90417.9;84355
74;93734;90448.9;84355
75;93734;90482;84355
76;93734;90494.6;84355
77;93734;90532.3;84355
78;93734;90562.4;84355
79;93734;90572.9;84355
80;93734;90592.1;84355
81;93734;90619.3;84355
82;93734;90654.7;84355
83;93734;90678;84355
84;96926;90752.4;84355
85;96926;90810.2;84355
86;96926;90835;84355
87;96926;90842.5;84355
88;96926;90859.5;84355
89;96926;90865.6;84355
90;96926;90852.1;84355
91;96926;90848.7;84355
92;96926;90866.8;84355
93;96926;90865.9;84355
94;96926;90846.5;84355
95;96926;90822.6;84355
96;96926;90840.6;84355
97;96926;90849.5;84355
98;96926;90864.2;84355
99;96926;90901.9;84355
100;96926;90942.2;84355
Iteration;Best Fitness;Average Fitness;Worst Fitness
1;89469;178004;89469
2;89469;133626;89247
3;89469;118249;87495
4;89469;110216;86117
5;90101;106193;86117
6;90101;103435;86117
7;90101;100896;85661
8;90101;98736.4;83621
9;90101;97126;83621
10;90101;96089.7;83621
11;90101;95135.3;83621
12;90101;94271.4;83621
13;90101;93576.4;83621
14;90101;93031.6;83621
15;90101;92604.7;83621
16;90101;92128.5;83621
17;90101;91738.3;83621
18;90101;91337.3;83621
19;90101;90941.1;83621
20;90101;90661.1;83621
21;90101;90363;83621
22;90101;90161.3;83621
23;90101;89942.8;83621
24;90101;89818.6;83621
25;90101;89546.7;83022
26;90101;89442.3;83022
27;90101;89317.3;83022
28;90101;89202.6;83022
29;90101;89061.8;83022
30;90101;89012.8;83022
31;90101;89004;83022
32;90101;88965.2;83022
33;90101;88908.2;83022
34;90101;88867.1;83022
35;90101;88847.7;83022
36;90101;88807.4;83022
37;90101;88657.3;83022
38;90101;88545.7;83022
39;90101;88454.6;83022
40;90101;88379.1;83022
41;90101;88273.7;83022
42;90101;88198.1;83022
43;90101;88103.1;83022
44;90101;88021.4;83022
45;90101;87899.6;82540
46;90101;87828.8;82540
47;90101;87741.1;82540
48;90101;87664.1;82540
49;90101;87613.3;82540
50;90101;87571.4;82540
51;90101;87512.7;82540
52;90101;87468.5;82540
53;90101;87411.8;82540
54;90101;87362.4;82540
55;90101;87267;82116
56;90101;87214.3;82116
57;90101;87171.7;82116
58;90101;87120.6;82116
59;90101;87100;82116
60;90101;87049;82116
61;90101;87027;82116
62;90101;86989.8;82116
63;90101;87007.8;82116
64;90101;86994.5;82116
65;90101;86968.1;82116
